12002-61-8;Ac2O3;Ac₂O₃;actinium(III) oxide;оксид актиния (III)
544-17-2;Ca(CHO2)2;Ca(CHO₂)₂;calcium formate;формиат кальция
62-54-4;Ca(C2H3O2)2;Ca(C₂H₃O₂)₂;calcium acetate;ацетат кальция
563-72-4;CaC2O4;CaC₂O₄;calcium oxalate;оксалат кальция
156-62-7;CaCN2;CaCN₂;calcium cyanamide;цианамид кальция
10043-52-4;CaCl2;CaCl₂;calcium chloride;хлорид кальция
7778-54-3;Ca(ClO)2;Ca(ClO)₂;calcium hypochlorite;гипохлорит кальция
10137-74-3;Ca(ClO3)2;Ca(ClO₃)₂;calcium chlorate;хлорат кальция
13477-36-6;Ca(ClO4)2;Ca(ClO₄)₂;calcium perchlorate;перхлорат кальция
7789-75-5;CaF2;CaF₂;calcium fluoride;фторид кальция
7789-78-8;CaH2;CaH₂;calcium hydride;гидрид кальция
7757-93-9;CaHPO4;CaHPO₄;dicalcium phosphate;дикальция фосфат
7789-79-9;Ca(H2PO2)2;Ca(H₂PO₂)₂;calcium hypophosphite;гипофосфит кальция
12133-28-7;Ca(HS)2;Ca(HS)₂;calcium hydrosulfide;гидросульфид кальция
10102-68-8;CaI2;CaI₂;calcium iodide;йодид кальция
7789-80-2;Ca(IO3)2;Ca(IO₃)₂;calcium iodate;йодат кальция
7789-82-4;CaMoO4;CaMoO₄;calcium molybdate;молибдат кальция
13780-06-8;Ca(NO2)2;Ca(NO₂)₂;calcium nitrite;нитрит кальция
10124-37-5;Ca(NO3)2;Ca(NO₃)₂;calcium nitrate;нитрат кальция
13477-34-4;Ca(NO3)2_4H2O;Ca(NO₃)₂_₄H₂O;Calcium nitrate tetrahydrate;Нитрат кальция тетрагидрат
1305-78-8;CaO;CaO;quicklime;негашеная известь
1305-62-0;Ca(OH)2;Ca(OH)₂;calcium hydroxide;гидроксид кальция
1305-79-9;CaO2;CaO₂;calcium peroxide;перекись кальция
39373-03-0;CaP;CaP;calcium monophosphide;монофосфид кальция
20548-54-3;CaS;CaS;calcium sulfide;сульфид кальция
10257-55-3;CaSO3;CaSO₃;calcium sulfite;сульфит кальция
7778-18-9;CaSO4;CaSO₄;calcium sulfate;сульфат кальция
10034-76-1;CaSO4_0.5H2O;CaSO₄_0.₅H₂O;plaster of paris;гипс
1305-84-6;CaSe;CaSe;calcium selenide;селенид кальция
13780-18-2;CaSeO3;CaSeO₃;calcium selenite;селенит кальция
14019-91-1;CaSeO4;CaSeO₄;calcium selenate;селенат кальция
1344-95-2;CaSiO3;CaSiO₃;calcium metasilicate;метасиликат кальция
12013-57-9;CaTe;CaTe;calcium telluride;теллурид кальция
13812-57-2;CaTeO3;CaTeO₃;calcium tellurite;теллурит кальция
15852-09-2;CaTeO4;CaTeO₄;calcium tellurate;теллурат кальция
12049-50-2;CaTiO3;CaTiO₃;calcium titanate;титанат кальция
12135-52-3;Ca(VO3)2;Ca(VO₃)₂;calcium metavanadate;метаванадат кальция
7790-75-2;CaWO4;CaWO₄;calcium tungstate;вольфрамат кальция
7778-44-1;Ca3(AsO4)2;Ca₃(AsO₄)₂;calcium arsenate;арсенат кальция
12013-82-0;Ca3N2;Ca₃N₂;calcium nitride;нитрид кальция
1305-99-3;Ca3P2;Ca₃P₂;calcium phosphide;фосфид кальция
7758-87-4;Ca3(PO4)2;Ca₃(PO₄)₂;tricalcium phosphate;трикальцийфосфат
1306-01-0;Ca4(PO4)2O;Ca₄(PO₄)₂O;tetracalcium phosphate;тетракальций фосфат
12015-73-5;Ca5(PO4)3F;Ca₅(PO₄)₃F;calcium fluorophosphate;фторфосфат кальция
7789-42-6;CdBr2;CdBr₂;cadmium bromide;кадмия бромид
542-83-6;Cd(CN)2;Cd(CN)₂;cadmium cyanide;цианид кадмия
513-78-0;CdCO3;CdCO₃;cadmium carbonate;карбонат кадмия
543-90-8;Cd(C2H3O2)2;Cd(C₂H₃O₂)₂;cadmium acetate;ацетат кадмия
814-88-0;CdC2O4;CdC₂O₄;cadmium oxalate;оксалат кадмия
10108-64-2;CdCl2;CdCl₂;cadmium chloride;хлорид кадмия
14312-00-6;CdCrO4;CdCrO₄;cadmium chromate;хромат кадмия
7790-79-6;CdF2;CdF₂;cadmium fluoride;фторид кадмия
7790-80-9;CdI2;CdI₂;cadmium iodide;иодид кадмия
7790-81-0;Cd(IO3)2;Cd(IO₃)₂;cadmium iodate;иодат кадмия
13972-68-4;CdMoO4;CdMoO₄;cadmium molybdate;молибдат кадмия
10325-94-7;Cd(NO3)2;Cd(NO₃)₂;cadmium nitrate;нитрат кадмия
14215-29-3;Cd(N3)2;Cd(N₃)₂;cadmium azide;азид кадмия
1306-19-0;CdO;CdO;cadmium oxide;оксид кадмия
21041-95-2;Cd(OH)2;Cd(OH)₂;cadmium hydroxide;гидроксид кадмия
1306-23-6;CdS;CdS;cadmium sulfide;сульфид кадмия
13477-23-1;CdSO3;CdSO₃;cadmium sulfite;сульфит кадмия
10124-36-4;CdSO4;CdSO₄;cadmium sulfate;сульфат кадмия
12014-29-8;CdSb;CdSb;cadmium antimonide;антимонид кадмия
1306-24-7;CdSe;CdSe;cadmium selenide;селенид кадмия
13814-59-0;CdSeO3;CdSeO₃;cadmium selenite;селенит кадмия
13477-19-5;CdSiO3;CdSiO₃;cadmium metasilicate;метасиликат кадмия
12292-07-8;Cd(TaO3)2;Cd(TaO₃)₂;cadmium metatantalate;метатанталат кадмия
1306-25-8;CdTe;CdTe;cadmium telluride;теллурид кадмия
15852-14-9;CdTeO4;CdTeO₄;cadmium tellurate;теллурат кадмия
12014-14-1;CdTiO3;CdTiO₃;cadmium titanate;титанат кадмия
7790-85-4;CdWO4;CdWO₄;cadmium tungstate;вольфрамат кадмия
12187-14-3;Cd2Nb2O7;Cd₂Nb₂O₇;cadmium niobate;ниобат кадмия
12006-15-4;Cd3As2;Cd₃As₂;cadmium arsenide;арсенид кадмия
12014-28-7;Cd3P2;Cd₃P₂;cadmium phosphide;фосфид кадмия
13477-17-3;Cd3(PO4)2;Cd₃(PO₄)₂;cadmium phosphate;фосфат кадмия
12008-02-5;CeB6;CeB₆;cerium boride;борид церия
14457-87-5;CeBr3;CeBr₃;cerium(III) bromide;бромид церия (III)
12012-32-7;CeC;CeC;cerium carbide;карбид церия
7790-86-5;CeCl3;CeCl₃;cerium(III) chloride;хлорид церия (III)
7758-88-5;CeF3;CeF₃;cerium(III) fluoride;фторид церия (III)
10060-10-3;CeF4;CeF₄;cerium(IV) fluoride;фторид церия (IV)
19139-47-0;CeI2;CeI₂;cerium(II) iodide;иодид церия (II)
7790-87-6;CeI3;CeI₃;cerium(III) iodide;иодид церия (III)
25764-08-3;CeN;CeN;cerium nitride;нитрид церия
1306-38-3;CeO2;CeO₂;cerium(IV) oxide;оксид церия (IV)
12014-82-3;CeS;CeS;cerium(II) sulfide;сульфид церия (II)
13590-82-4;Ce(SO4)2;Ce(SO₄)₂;cerium(IV) sulfate;сульфат церия (IV)
12014-85-6;CeSi2;CeSi₂;cerium silicide;силицид церия
12115-63-8;Ce2C3;Ce₂C₃;cerium(III) carbide;карбид церия (III)
1345-13-7;Ce2O3;Ce₂O₃;cerium(III) oxide;оксид церия (III)
12014-93-6;Ce2S3;Ce₂S₃;cerium(III) sulfide;сульфид церия (III)
75-72-9;CF3Cl;CF₃Cl;chlorotrifluoromethane;хлортрифторметан
75-73-0;CF4;CF₄;tetrafluoromethane;тетрафторметан
7790-89-8;ClF;ClF;chlorine fluoride;фторид хлора
7790-91-2;ClF3;ClF₃;chlorine trifluoride;трифторид хлора
13637-63-3;ClF5;ClF₅;chlorine pentafluoride;пентафторид хлора
27218-16-2;ClOClO3;ClOClO₃;chlorine perchlorate;перхлорат хлора
10049-04-4;ClO2;ClO₂;chlorine dioxide;диоксид хлора
7616-94-6;ClO3F;ClO₃F;chlorine trioxide fluoride;триоксид хлора фторид
17496-59-2;Cl2O3;Cl₂O₃;chlorine trioxide;триоксид хлора
12442-63-6;Cl2O6;Cl₂O₆;chlorine hexoxide;гексоксид хлора
10294-48-1;Cl2O7;Cl₂O₇;chlorine heptoxide;семиокись хлора
13820-62-7;CoAl2O4;CoAl₂O₄;cobalt(II) aluminate;алюминат кобальта(II)
27016-73-5;CoAs;CoAs;cobalt arsenide;арсенид кобальта
12044-42-7;CoAs2;CoAs₂;cobalt(II) arsenide;арсенид кобальта (II)
12006-77-8;CoB;CoB;cobalt(II) boride;кобальт(II) борид
7789-43-7;CoBr2;CoBr₂;cobalt(II) bromide;бромид кобальта(II)
542-84-7;Co(CN)2;Co(CN)₂;cobalt(II) cyanide;цианид кобальта(II)
71-48-7;Co(C2H3O2)2;Co(C₂H₃O₂)₂;cobalt(II) acetate;ацетат кобальта(II)
917-69-1;Co(C2H3O2)3;Co(C₂H₃O₂)₃;cobalt(III) acetate;ацетат кобальта (III)
814-89-1;CoC2O4;CoC₂O₄;cobalt(II) oxalate;оксалат кобальта(II)
13455-31-7;Co(ClO4)2;Co(ClO₄)₂;cobalt(II) perchlorate;перхлорат кобальта(II)
7646-79-9;CoCl2;CoCl₂;cobalt(II) chloride;хлорид кобальта(II)
24613-38-5;CoCrO4;CoCrO₄;cobalt(II) chromate;хромат кобальта(II)
13455-25-9;CoCr2O4;CoCr₂O₄;cobalt(II) chromite;хромит кобальта(II)
10026-17-2;CoF2;CoF₂;cobalt(II) fluoride;фторид кобальта (II)
10026-18-3;CoF3;CoF₃;cobalt(III) fluoride;фторид кобальта (III)
13455-28-2;Co(IO3)2;Co(IO₃)₂;cobalt(II) iodate;иодат кобальта(II)
15238-00-3;CoI2;CoI₂;cobalt(II) iodide;йодид кобальта(II)
13762-14-6;CoMoO4;CoMoO₄;cobalt(II) molybdate;молибдат кобальта(II)
10141-05-6;Co(NO3)2;Co(NO₃)₂;cobalt(II) nitrate;нитрат кобальта(II)
15520-84-0;Co(NO3)3;Co(NO₃)₃;cobalt(III) nitrate;нитрат кобальта (III)
1307-96-6;CoO;CoO;cobalt(II) oxide;оксид кобальта(II)
21041-93-0;Co(OH)2;Co(OH)₂;cobalt(II) hydroxide;гидроксид кобальта(II)
1307-86-4;Co(OH)3;Co(OH)₃;cobalt(III) hydroxide;гидроксид кобальта (III)
1317-42-6;CoS;CoS;cobalt(II) sulfide;сульфид кобальта(II)
12013-10-4;CoS2;CoS₂;cobalt disulfide;дисульфид кобальта
12052-42-5;CoSb;CoSb;cobalt antimonide;антимонид кобальта
1307-99-9;CoSe;CoSe;cobalt(II) selenide;селенид кобальта(II)
10026-23-0;CoSeO3;CoSeO₃;cobalt(II) selenite;кобальт(II) селенит
12017-13-9;CoTe;CoTe;cobalt(II) telluride;теллурид кобальта (II)
12017-01-5;CoTiO3;CoTiO₃;cobalt(II) titanate;титанат кобальта(II)
12640-47-0;CoWO4;CoWO₄;cobalt(II) tungstate;вольфрамат кобальта(II)
12045-01-1;Co2B;Co₂B;cobalt boride;борид кобальта
10124-43-3;Co2SO4;Co₂SO₄;cobalt(II) sulfate;сульфат кобальта (II)
1332-71-4;Co2S3;Co₂S₃;cobalt(III) sulfide;сульфид кобальта (III)
12017-08-2;Co2SiO4;Co₂SiO₄;cobalt(II) orthosilicate;ортосиликат кобальта(II)
12139-93-4;Co2SnO4;Co₂SnO₄;cobalt(II) stannate;станнат кобальта(II)
12017-38-8;Co2TiO4;Co₂TiO₄;cobalt(II) titanite;кобальт(II) титанит
14049-81-1;Co3(Fe(CN)6)2;Co₃(Fe(CN)₆)₂;cobalt(II) ferricyanide;феррицианид кобальта (II)
10049-25-9;CrBr2;CrBr₂;chromium(II) bromide;бромид хрома (II)
10031-25-1;CrBr3;CrBr₃;chromium(III) bromide;бромид хрома (III)
10049-05-5;CrCl2;CrCl₂;chromium(II) chloride;хлорид хрома (II)
10025-73-7;CrCl3;CrCl₃;chromium(III) chloride;хлорид хрома (III)
15597-88-3;CrCl4;CrCl₄;chromium(IV) chloride;хлорид хрома (IV)
10049-10-2;CrF2;CrF₂;chromium(II) fluoride;фторид хрома (II)
7788-97-8;CrF3;CrF₃;chromium(III) fluoride;фторид хрома (III)
10049-11-3;CrF4;CrF₄;chromium(IV) fluoride;фторид хрома (IV)
14884-42-5;CrF5;CrF₅;chromium(V) fluoride;фторид хрома (V)
13843-28-2;CrF6;CrF₆;chromium(VI) fluoride;фторид хрома (VI)
13478-28-9;CrI2;CrI₂;chromium(II) iodide;иодид хрома (II)
13569-75-0;CrI3;CrI₃;chromium(III) iodide;иодид хрома (III)
13548-38-4;Cr(NO3)3;Cr(NO₃)₃;chromium(III) nitrate;нитрат хрома (III)
1308-14-1;Cr(OH)3;Cr(OH)₃;chromium(III) hydroxide;гидроксид хрома (III)
12018-01-8;CrO2;CrO₂;chromium(IV) oxide;оксид хрома (IV)
1333-82-0;CrO3;CrO₃;chromium(VI) oxide;оксид хрома (VI)
13907-45-4;CrO4²⁻;CrO₄²⁻;chromate ion;ион хромата
14977-61-8;CrO2Cl2;CrO₂Cl₂;chromium(VI) oxychloride;оксихлорид хрома (VI)
7789-04-0;CrPO4;CrPO₄;chromium(III) phosphate;фосфат хрома (III)
12053-12-2;CrSb;CrSb;chromium antimonide;антимонид хрома
12053-13-3;CrSe;CrSe;chromium(II) selenide;селенид хрома (II)
12018-09-6;CrSi2;CrSi₂;chromium(II) silicide;силицид хрома (II)
1308-38-9;Cr2O3;Cr₂O₃;chromium(III) oxide;оксид хрома (III)
10101-53-8;Cr2(SO4)3;Cr₂(SO₄)₃;chromium(III) sulfate;сульфат хрома (III)
12018-22-3;Cr2S3;Cr₂S₃;chromium(III) sulfide;сульфид хрома (III)
12053-39-3;Cr2Te3;Cr₂Te₃;chromium(III) telluride;теллурид хрома (III)
12012-35-0;Cr3C2;Cr₃C₂;chromium(II) carbide;карбид хрома (II)
92141-86-1;CsBO2;CsBO₂;caesium borate;борат цезия
7787-69-1;CsBr;CsBr;caesium bromide;бромид цезия
13454-75-6;CsBrO3;CsBrO₃;caesium bromate;бромат цезия
14023-00-8;CsBr3;CsBr₃;caesium tribromide;трибромид цезия
21159-32-0;CsCN;CsCN;caesium cyanide;цианид цезия
3396-11-0;CsC2H3O2;CsC₂H₃O₂;caesium acetate;ацетат цезия
7647-17-8;CsCl;CsCl;caesium chloride;хлорид цезия
13763-67-2;CsClO3;CsClO₃;caesium chlorate;хлорат цезия
13454-84-7;CsClO4;CsClO₄;caesium perchlorate;перхлорат цезия
13400-13-0;CsF;CsF;caesium fluoride;фторид цезия
13772-47-9;CsH;CsH;caesium hydride;гидрид цезия
7789-17-5;CsI;CsI;caesium iodide;иодид цезия
13454-81-4;CsIO3;CsIO₃;caesium iodate;иодат цезия
13478-04-1;CsIO4;CsIO₄;caesium periodate;периодат цезия
12297-72-2;CsI3;CsI₃;caesium triiodide;трийодид цезия
22205-57-8;CsNH2;CsNH₂;caesium amide;амид цезия
13454-83-6;CsNO2;CsNO₂;caesium nitrite;нитрит цезия
7789-18-6;CsNO3;CsNO₃;caesium nitrate;нитрат цезия
22750-57-8;CsN3;CsN₃;caesium azide;азид цезия
12053-66-6;CsNbO3;CsNbO₃;caesium niobate;ниобат цезия
21351-79-1;CsOH;CsOH;caesium hydroxide;гидроксид цезия
12018-61-0;CsO2;CsO₂;caesium superoxide;супероксид цезия
12214-16-3;Cs2S;Cs₂S;caesium sulfide;сульфид цезия
3879-01-4;CsSCN;CsSCN;caesium thiocyanate;тиоцианат цезия
10326-29-1;CsSeO4;CsSeO₄;caesium selenate;селенат цезия
12158-56-4;CsTaO3;CsTaO₃;caesium metatantalate;метатанталат цезия
29703-01-3;Cs2CO3;Cs₂CO₃;caesium carbonate;карбонат цезия
15519-28-5;CsHCO3;CsHCO₃;caesium bicarbonate;бикарбонат цезия
18649-05-3;CsH2PO4;CsH₂PO₄;monocaesium phosphate;моноцезия фосфат
7789-16-4;CsHSO4;CsHSO₄;caesium hydrogen sulfate;гидросульфат цезия
1068-63-9;Cs2C2O4;Cs₂C₂O₄;caesium oxalate;оксалат цезия
13454-78-9;Cs2CrO4;Cs₂CrO₄;caesium chromate;хромат цезия
13530-67-1;Cs2Cr2O7;Cs₂Cr₂O₇;caesium dichromate;дихромат цезия
13597-64-3;Cs2MoO4;Cs₂MoO₄;caesium molybdate;молибдат цезия
20281-00-9;Cs2O;Cs₂O;caesium oxide;оксид цезия
10294-54-9;Cs2SO4;Cs₂SO₄;caesium sulfate;сульфат цезия
15586-77-3;Cs2SiO3;Cs₂SiO₃;caesium metasilicate;метасиликат цезия
34729-54-9;Cs2TeO4;Cs₂TeO₄;caesium tellurate;теллурат цезия
12158-57-5;Cs2TiO3;Cs₂TiO₃;caesium titanate;титанат цезия
13587-19-4;Cs2WO4;Cs₂WO₄;caesium orthotungstate;ортовольфрамат цезия
17893-64-0;Cs3PO4;Cs₃PO₄;caesium orthophosphate;ортофосфат цезия
34283-69-7;Cs3VO4;Cs₃VO₄;caesium orthovanadate;ортованадат цезия
7787-70-4;CuBr;CuBr;copper(I) bromide;бромид меди(I)
7789-45-9;CuBr2;CuBr₂;copper(II) bromide;бромид меди(II)
814-91-5;CuC2O4;CuC₂O₄;copper oxalate;оксалат меди
598-54-9;Cu(CH3COO);Cu(CH₃COO);copper(I) acetate;ацетат меди(I)
142-71-2;Cu(CH3COO)2;Cu(CH₃COO)₂;copper(II) acetate;ацетат меди(II)
7758-89-6;CuCl;CuCl;copper(I) chloride;хлорид меди(I)
13478-36-9;Cu(ClO3)2_6H2O;Cu(ClO₃)₂_₆H₂O;copper(II) chlorate hexahydrate;гексагидрат хлората меди(II)
7447-39-4;CuCl2;CuCl₂;copper(II) chloride;хлорид меди(II)
7789-19-7;CuF;CuF;copper(I) fluoride;фторид меди(I)
11113-59-0;CuF2;CuF₂;copper(II) fluoride;фторид меди(II)
12015-76-8;CuFeS2;CuFeS₂;copper iron sulfide;медь сульфид железа
37220-43-2;CuFe2O4;CuFe₂O₄;copper(II) iron(II) oxide;оксид меди(II) железа(II)
37293-35-9;CuFe2S3;CuFe₂S₃;copper iron sulfide;медь сульфид железа
7681-65-4;CuI;CuI;copper(I) iodide;иодид меди(I)
13454-89-2;Cu(IO3)2;Cu(IO₃)₂;copper(II) iodate;иодат меди(II)
3251-23-8;Cu(NO3)2;Cu(NO₃)₂;copper(II) nitrate;нитрат меди(II)
10031-43-3;Cu(NO3)2_3H2O;Cu(NO₃)₂_₃H₂O;copper(II) nitrate trihydrate;тригидрат нитрата меди (II)
10294-41-4;Cu(NO3)2_6H2O;Cu(NO₃)₂_₆H₂O;copper(II) nitrate hexahydrate;гексагидрат нитрата меди (II)
1317-38-0;CuO;CuO;copper(II) oxide;оксид меди(II)
1317-39-1;Cu2O;Cu₂O;copper(I) oxide;оксид меди(I)
20427-59-2;Cu(OH)2;Cu(OH)₂;copper(II) hydroxide;гидроксид меди(II)
12069-69-1;Cu2(OH)2CO3;Cu₂(OH)₂CO₃;basic copper carbonate;основной карбонат меди
1317-40-4;CuS;CuS;copper(II) sulfide;сульфид меди(II)
1111-67-7;CuSCN;CuSCN;copper(I) thiocyanate;тиоцианат меди(I)
7758-98-7;CuSO4;CuSO₄;copper(II) sulfate;сульфат меди(II)
7758-99-8;CuSO4_5H2O;CuSO₄_₅H₂O;copper(II) sulfate pentahydrate;пентагидрат сульфата меди (II)
37359-15-2;CuSe;CuSe;copper(II) selenide;селенид меди(II)
15168-20-4;CuSeO3_2H2O;CuSeO₃_₂H₂O;copper(II) selenite dihydrate;дигидрат селенита меди(II)
12019-23-7;CuTe;CuTe;copper(II) telluride;теллурид меди(II)
13812-58-3;CuTeO3;CuTeO₃;copper(II) tellurite;теллурит меди(II)
12019-08-8;CuTiO3;CuTiO₃;copper(II) metatitanate;метатитанат меди (II)
14958-34-0;Cu(VO3)2;Cu(VO₃)₂;copper(II) metavanadate;метаванадат меди (II)
13587-35-4;CuWO4;CuWO₄;copper(II) orthotungstate;ортовольфрамат меди(II)
1319-53-5;Cu2CO3(OH)2;Cu₂CO₃(OH)₂;malachite;малахит
21112-20-9;Cu2S;Cu₂S;copper(I) sulfide;сульфид меди(I)
20405-64-5;Cu2Se;Cu₂Se;copper(I) selenide;селенид меди(I)
12019-52-2;Cu2Te;Cu₂Te;copper(I) telluride;теллурид меди(I)
12005-75-3;Cu3As;Cu₃As;copper(I) arsenide;арсенид меди(I)
12019-57-7;Cu3P;Cu₃P;copper(I) phosphide;фосфид меди(I)
7798-23-4;Cu3(PO4)2;Cu₃(PO₄)₂;copper(II) phosphate;фосфат меди(II)
12054-25-0;Cu3Sb;Cu₃Sb;copper(III) antimonide;антимонид меди(III)
13536-59-9;DBr;DBr;deuterium bromide;бромид дейтерия
13587-16-1;DLi;DLi;lithium deuteride;дейтерид лития
15780-28-6;DNa;DNa;sodium deuteride;дейтерид натрия
7789-20-0;D2O;D₂O;deuterium oxide;оксид дейтерия
14456-48-5;DyBr3;DyBr₃;dysprosium(III) bromide;бромид диспрозия (III)
13767-31-2;DyCl2;DyCl₂;dysprosium(II) chloride;хлорид диспрозия (II)
10025-74-8;DyCl3;DyCl₃;dysprosium(III) chloride;хлорид диспрозия (III)
12133-07-2;DySi2;DySi₂;dysprosium(II) silicide;силицид диспрозия (II)
1308-87-8;Dy2O3;Dy₂O₃;dysprosium(III) oxide;оксид диспрозия (III)
12133-10-7;Dy2S3;Dy₂S₃;dysprosium(III) sulfide;сульфид диспрозия (III)
10138-41-7;ErCl3;ErCl₃;erbium(III) chloride;хлорид эрбия (III)
16087-67-5;ErF;ErF;erbium monofluoride;монофторид эрбия
16087-65-3;ErF2;ErF₂;erbium difluoride;дифторид эрбия
13760-83-3;ErF3;ErF₃;erbium trifluoride;трифторид эрбия
13813-42-8;ErI3;ErI₃;erbium triiodide;трииодид эрбия
129863-13-4;ErI4Na;ErI₄Na;erbium sodium tetraiodide;тетраиодид эрбия натрия
12280-61-4;ErO;ErO;erbium monoxide;монооксид эрбия
13769-20-5;EuCl2;EuCl₂;europium(II) chloride;хлорид европия (II)
10025-76-0;EuCl3;EuCl₃;europium(III) chloride;хлорид европия (III)
17209-60-8;EuF;EuF;europium monofluoride;монофторид европия
13765-25-8;EuF3;EuF₃;europium trifluoride;трифторид европия
22015-35-6;EuI2;EuI₂;europium diiodide;дииодид европия
107069-78-3;EuNbO2;EuNbO₂;europium niobium dioxide;диоксид европия ниобия
55216-32-5;EuNb2O6;EuNb₂O₆;europium diniobium hexaoxide;гексаоксид европия диниобия
12020-60-9;EuO;EuO;europium monoxide;монооксид европия
88762-30-5;EuO2V;EuO₂V;monoeuropium monovandium dioxide;диоксид моноевропия моновандия
12020-61-0;EuO3Ti;EuO₃Ti;europium titanium trioxide;триоксид европия титана
39432-21-8;EuO3V;EuO₃V;europium metavanadate;метаванадат европия
13537-12-7;EuO4W;EuO₄W;europium tungsten tetraoxide;тетраоксид вольфрама европия
12020-65-4;EuS;EuS;europium monosulfide;моносульфид европия
10031-54-6;EuSO4;EuSO₄;europium(II) sulfate;сульфат европия (II)
55957-42-1;EuS2;EuS₂;europium disulfide;дисульфид европия
62462-47-9;Eu2O;Eu₂O;dieuropium monoxide;монооксид диевропия
62462-48-0;Eu2O2;Eu₂O₂;dieuropium dioxide;диоксид диевропия
1308-96-9;Eu2O3;Eu₂O₃;europium(III) oxide;оксид европия (III)
62462-49-1;Eu2S;Eu₂S;dieuropium monosulfide;моносульфид диевропия
62462-51-5;Eu2S2;Eu₂S₂;dieuropium disulfide;дисульфид диевропия
13537-15-0;Eu2(SO4)3;Eu₂(SO₄)₃;europium(III) sulfate;сульфат европия (III)
13966-78-4;FGa;FGa;gallium monofluoride;монофторид галлия
15586-66-0;FGaO;FGaO;gallium monofluoride monoxide;монооксид монофторида галлия
12259-18-6;FGd;FGd;gadolinium monofluoride;монофторид гадолиния
14929-46-5;FGe;FGe;germanium monofluoride;монофторид германия
16087-66-4;FHo;FHo;holmium monofluoride;монофторид гольмия
13873-84-2;FI;FI;iodine monofluoride;монофторид йода
58751-33-0;FI2;FI₂;monofluorodiiodine;монофтордийод
13966-95-5;FIn;FIn;indium monofluoride;монофторид индия
13943-44-7;FLa;FLa;lanthanum monofluoride;монофторид лантана
34240-84-1;FLiO;FLiO;lithium hypofluorite;гипофлюорит лития
50644-69-4;FLi2;FLi₂;dilithium monofluoride;монофторид дилития
14953-28-7;FMg;FMg;magnesium monofluoride;монофторид магния
13569-25-0;FMn;FMn;monomanganese monofluoride;монофторид мономарганца
15586-97-7;FMnO3;FMnO₃;manganese fluoride trioxide;триоксид фторида марганца
60388-18-3;FMo;FMo;molybdenum monofluoride;монофторид молибдена
13967-06-1;FN;FN;fluoroimidogen;фторимидоген
7789-25-5;FNO;FNO;nitrosyl fluoride;нитрозилфторид
10022-50-1;FNO2;FNO₂;nitryl fluoride;нитрилфторид
7789-26-6;FNO3;FNO₃;fluorine nitrate;нитрат фтора
18820-63-8;FNS;FNS;thiazyl fluoride;тиазилфторид
87331-13-3;FNa2;FNa₂;disodium monofluoride;монофторид динатрия
13940-77-7;FNd;FNd;neodymium monofluoride;монофторид неодима
12061-70-0;FO;FO;oxygen monofluoride;монофторид кислорода
19797-90-1;FOTh;FOTh;thorium monofluoride monoxide;монооксид монофторида тория
17497-75-5;FOTi;FOTi;titanium fluoride oxide;оксид фторида титана
15499-23-7;FO2;FO₂;dioxygen monofluoride;диоксид монофторид
21549-02-0;FO3S;FO₃S;fluorosulfate radical;фторсульфатный радикал
16027-92-2;FP;FP;phosphorus monofluoride;монофторид фосфора
55753-39-4;FPS;FPS;phosphenothious fluoride;фосфенотиофторид
137649-46-8;FPS2;FPS₂;phosphenodithioic fluoride;фосфенодитиоевый фторид
14986-72-2;FPb;FPb;lead monofluoride;монофторид свинца
20882-16-0;FPu;FPu;plutonium monofluoride;монофторид плутония
16068-96-5;FS;FS;monosulfur monofluoride;монофторид моносеры
14017-33-5;FSc;FSc;scandium monofluoride;монофторид скандия
17209-59-5;FSm;FSm;samarium monofluoride;монофторид самария
13966-74-0;FSn;FSn;tin monofluoride;монофторид олова
13569-27-2;FSr;FSr;strontium monofluoride;монофторид стронция
51686-34-1;FTh;FTh;thorium monofluoride;монофторид тория
18025-22-4;FTi;FTi;titanium fluoride;фторид титана
7789-27-7;FTl;FTl;thallium monofluoride;монофторид таллия
51621-16-0;FW;FW;tungsten monofluoride;монофторид вольфрама
16757-14-5;FXe;FXe;xenon monofluoride;ксенон монофторид
13981-88-9;FY;FY;yttrium monofluoride;монофторид иттрия
13569-28-3;FZr;FZr;zirconium fluoride;фторид циркония
7789-28-8;F2Fe;F₂Fe;ferrous fluoride;фторид железа
51777-79-8;F2Ga;F₂Ga;gallium difluoride;дифторид галлия
12259-19-7;F2Gd;F₂Gd;gadolinium difluoride;дифторид гадолиния
13940-63-1;F2Ge;F₂Ge;germanium difluoride;дифторид германия
72190-38-6;F2GeO;F₂GeO;difluorogermanone;дифторгерманон
7783-39-3;F2Hg;F₂Hg;mercury fluoride;фторид ртути
13967-25-4;F2Hg2;F₂Hg₂;mercury fluoride;фторид ртути
16087-64-2;F2Ho;F₂Ho;holmium difluoride;дифторид гольмия
13819-11-9;F2IP;F₂IP;difluoroiodophosphine;дифторйодофосфин
12285-62-0;F2K2;F₂K₂;dipotassium difluoride;дифторид калия
13773-81-4;F2Kr;F₂Kr;krypton difluoride;дифторид криптона
15948-68-2;F2La;F₂La;lanthanum difluoride;дифторид лантана
12265-82-6;F2Li2;F₂Li₂;lithium fluoride;фторид лития
7783-40-6;F2Mg;F₂Mg;magnesium fluoride;фторид магния
7782-64-1;F2Mn;F₂Mn;manganese difluoride;дифторид марганца
20205-60-1;F2Mo;F₂Mo;molybdenum difluoride;дифторид молибдена
